file,MAE,error
000352.pth,978796.3125,
000353.pth,978797.625,
000354.pth,978805.6875,
000355.pth,978810.8125,
000356.pth,978805.0,
000357.pth,978813.625,
000358.pth,978940.625,
000359.pth,978911.375,
000360.pth,978894.5,
000361.pth,978885.6875,
000362.pth,978880.8125,
000363.pth,978878.875,
000364.pth,978878.6875,
000365.pth,978888.625,
000366.pth,978894.5,
000367.pth,978913.125,
000368.pth,978937.375,
000369.pth,,'Ground truth not found'
000370.pth,,'Ground truth not found'
000371.pth,,'Ground truth not found'
000372.pth,,'Ground truth not found'
000373.pth,,'Ground truth not found'
000374.pth,,'Ground truth not found'
000375.pth,,'Ground truth not found'
000376.pth,,'Ground truth not found'
000377.pth,,'Ground truth not found'
000378.pth,,'Ground truth not found'
000379.pth,,'Ground truth not found'
000380.pth,,'Ground truth not found'
000381.pth,,'Ground truth not found'
000382.pth,,'Ground truth not found'
000383.pth,,'Ground truth not found'
000384.pth,978823.625,
000385.pth,978762.5,
000386.pth,978716.125,
000387.pth,978711.0,
000388.pth,978765.375,
000389.pth,978783.625,
000390.pth,978747.8125,
000391.pth,978714.625,
000392.pth,978720.625,
000393.pth,978754.875,
000394.pth,978795.875,
000395.pth,978858.125,
000396.pth,978829.8125,
000397.pth,978794.625,
000398.pth,978761.8125,
000399.pth,978743.5,
000400.pth,978742.875,
000401.pth,978764.1875,
000402.pth,978791.1875,
000403.pth,978832.3125,
000404.pth,978804.0,
000405.pth,978785.5,
000406.pth,978767.8125,
000407.pth,978769.375,
000408.pth,978779.5,
000409.pth,978803.375,
000410.pth,978838.0,
000411.pth,978859.625,
000412.pth,978883.625,
000413.pth,978876.0,
000414.pth,978860.0,
000415.pth,978833.3125,
000416.pth,978810.5,
000417.pth,978802.5,
000418.pth,978799.6875,
000419.pth,978805.1875,
000420.pth,978821.875,
000421.pth,978842.875,
000422.pth,978917.6875,
000423.pth,978886.8125,
000424.pth,978861.875,
000425.pth,978840.6875,
000426.pth,978829.6875,
000427.pth,978827.5,
000428.pth,978832.5,
000429.pth,978849.1875,
000430.pth,978872.625,
000431.pth,978888.0,
000432.pth,978897.0,
000433.pth,,'Ground truth not found'
000434.pth,,'Ground truth not found'
000435.pth,,'Ground truth not found'
000436.pth,,'Ground truth not found'
000437.pth,,'Ground truth not found'
000438.pth,,'Ground truth not found'
000439.pth,,'Ground truth not found'
000440.pth,,'Ground truth not found'
000441.pth,,'Ground truth not found'
000442.pth,,'Ground truth not found'
000443.pth,,'Ground truth not found'
000444.pth,,'Ground truth not found'
000445.pth,,'Ground truth not found'
000446.pth,,'Ground truth not found'
000447.pth,,'Ground truth not found'
000448.pth,978879.875,
000449.pth,978857.5,
000450.pth,978790.1875,
000451.pth,978756.625,
000452.pth,978754.8125,
000453.pth,978789.1875,
000454.pth,978763.375,
000455.pth,978770.5,
000456.pth,978797.375,
000457.pth,978846.3125,
000458.pth,978892.1875,
000459.pth,978874.5,
000460.pth,978890.125,
000461.pth,978875.625,
000462.pth,978841.125,
000463.pth,978820.375,
000464.pth,978811.125,
000465.pth,978786.3125,
000466.pth,978787.1875,
000467.pth,978790.375,
000468.pth,978782.5,
000469.pth,978795.875,
000470.pth,978821.5,
000471.pth,978849.875,
000472.pth,978864.125,
000473.pth,978887.1875,
000474.pth,978883.8125,
000475.pth,978872.6875,
000476.pth,978853.125,
000477.pth,978871.625,
000478.pth,978901.0,
000479.pth,978920.0,
000480.pth,978906.625,
000481.pth,978886.1875,
000482.pth,978863.875,
000483.pth,978826.1875,
000484.pth,978804.125,
000485.pth,978791.375,
000486.pth,978795.875,
000487.pth,978795.125,
000488.pth,978807.6875,
000489.pth,978838.0,
000490.pth,978888.875,
000491.pth,978905.8125,
000492.pth,978929.6875,
000493.pth,978939.375,
000494.pth,978922.8125,
000495.pth,978893.875,
000496.pth,978864.8125,
000497.pth,,'Ground truth not found'
000498.pth,,'Ground truth not found'
000499.pth,,'Ground truth not found'
000500.pth,,'Ground truth not found'
000501.pth,,'Ground truth not found'
000502.pth,,'Ground truth not found'
000503.pth,,'Ground truth not found'
000504.pth,,'Ground truth not found'
000505.pth,,'Ground truth not found'
000506.pth,,'Ground truth not found'
000507.pth,,'Ground truth not found'
000508.pth,,'Ground truth not found'
000509.pth,,'Ground truth not found'
000510.pth,,'Ground truth not found'
000511.pth,,'Ground truth not found'
000512.pth,978798.6875,
000513.pth,978738.375,
000514.pth,978710.3125,
000515.pth,978725.0,
000516.pth,978789.625,
000517.pth,978800.125,
000518.pth,978743.0,
000519.pth,978717.375,
000520.pth,978709.6875,
000521.pth,978720.5,
000522.pth,978753.5,
000523.pth,978801.8125,
000524.pth,978762.625,
000525.pth,978739.6875,
000526.pth,978724.625,
000527.pth,978722.5,
000528.pth,978733.875,
000529.pth,978751.625,
000530.pth,978782.375,
000531.pth,978827.625,
000532.pth,978782.0,
000533.pth,978763.625,
000534.pth,978748.1875,
000535.pth,978740.0,
000536.pth,978738.125,
000537.pth,978744.5,
000538.pth,978763.1875,
000539.pth,978785.625,
000540.pth,978834.8125,
000541.pth,978805.125,
000542.pth,978780.875,
000543.pth,978765.375,
000544.pth,978762.875,
000545.pth,978765.875,
000546.pth,978768.0,
000547.pth,978777.6875,
000548.pth,978796.375,
000549.pth,978823.375,
000550.pth,978911.1875,
000551.pth,978860.8125,
000552.pth,978829.875,
000553.pth,978809.875,
000554.pth,978802.0,
000555.pth,978798.8125,
000556.pth,978793.0,
000557.pth,978786.8125,
000558.pth,978805.875,
000559.pth,978822.1875,
000560.pth,978848.8125,
000561.pth,,'Ground truth not found'
000562.pth,,'Ground truth not found'
000563.pth,,'Ground truth not found'
000564.pth,,'Ground truth not found'
000565.pth,,'Ground truth not found'
000566.pth,,'Ground truth not found'
000567.pth,,'Ground truth not found'
000568.pth,,'Ground truth not found'
000569.pth,,'Ground truth not found'
000570.pth,,'Ground truth not found'
000571.pth,,'Ground truth not found'
000572.pth,,'Ground truth not found'
000573.pth,,'Ground truth not found'
000574.pth,,'Ground truth not found'
000575.pth,,'Ground truth not found'
000576.pth,978848.0,
000577.pth,978797.6875,
000578.pth,978762.3125,
000579.pth,978713.875,
000580.pth,978742.375,
000581.pth,978770.8125,
000582.pth,978735.1875,
000583.pth,978746.125,
000584.pth,978780.875,
000585.pth,978819.625,
000586.pth,978847.125,
000587.pth,978882.375,
000588.pth,978861.8125,
000589.pth,978852.0,
000590.pth,978820.8125,
000591.pth,978790.875,
000592.pth,978763.6875,
000593.pth,978759.875,
000594.pth,978779.1875,
000595.pth,978825.6875,
000596.pth,978790.375,
000597.pth,978780.6875,
000598.pth,978784.5,
000599.pth,978800.625,
000600.pth,978833.375,
000601.pth,978859.6875,
000602.pth,978873.375,
000603.pth,978871.8125,
000604.pth,978877.8125,
000605.pth,978877.3125,
000606.pth,978891.125,
000607.pth,978880.5,
000608.pth,978854.375,
000609.pth,978838.3125,
000610.pth,978822.0,
000611.pth,978809.8125,
000612.pth,978817.375,
000613.pth,978826.5,
000614.pth,978855.625,
000615.pth,978841.375,
000616.pth,978844.1875,
000617.pth,978849.125,
000618.pth,978864.6875,
000619.pth,978884.875,
000620.pth,978904.1875,
000621.pth,978916.125,
000622.pth,978915.8125,
000623.pth,978893.875,
000624.pth,978878.8125,
000625.pth,,'Ground truth not found'
000626.pth,,'Ground truth not found'
000627.pth,,'Ground truth not found'
000628.pth,,'Ground truth not found'
000629.pth,,'Ground truth not found'
000630.pth,,'Ground truth not found'
000631.pth,,'Ground truth not found'
000632.pth,,'Ground truth not found'
000633.pth,,'Ground truth not found'
000634.pth,,'Ground truth not found'
000635.pth,,'Ground truth not found'
000636.pth,,'Ground truth not found'
000637.pth,,'Ground truth not found'
000638.pth,,'Ground truth not found'
000639.pth,,'Ground truth not found'
000640.pth,978591.0,
000641.pth,978551.1875,
000642.pth,978549.625,
000643.pth,978564.1875,
000644.pth,978692.8125,
000645.pth,978688.625,
000646.pth,978564.1875,
000647.pth,978541.6875,
000648.pth,978559.375,
000649.pth,978568.6875,
000650.pth,978547.5,
000651.pth,978629.8125,
000652.pth,978581.0,
000653.pth,978590.1875,
000654.pth,978592.6875,
000655.pth,978568.5,
000656.pth,978555.5,
000657.pth,978548.0,
000658.pth,978627.3125,
000659.pth,978775.625,
000660.pth,978669.5,
000661.pth,978606.6875,
000662.pth,978604.375,
000663.pth,978609.125,
000664.pth,978623.625,
000665.pth,978647.625,
000666.pth,978659.0,
000667.pth,978680.8125,
000668.pth,978846.6875,
000669.pth,978806.8125,
000670.pth,978783.125,
000671.pth,978766.0,
000672.pth,978744.625,
000673.pth,978723.375,
000674.pth,978734.1875,
000675.pth,978742.125,
000676.pth,978761.125,
000677.pth,978829.0,
000678.pth,978984.625,
000679.pth,978944.375,
000680.pth,978910.875,
000681.pth,978885.5,
000682.pth,978863.0,
000683.pth,978835.3125,
000684.pth,978853.125,
000685.pth,978883.0,
000686.pth,978905.125,
000687.pth,978931.0,
000688.pth,978946.875,
000689.pth,,'Ground truth not found'
000690.pth,,'Ground truth not found'
000691.pth,,'Ground truth not found'
000692.pth,,'Ground truth not found'
000693.pth,,'Ground truth not found'
000694.pth,,'Ground truth not found'
000695.pth,,'Ground truth not found'
000696.pth,,'Ground truth not found'
000697.pth,,'Ground truth not found'
000698.pth,,'Ground truth not found'
000699.pth,,'Ground truth not found'
000700.pth,,'Ground truth not found'
000701.pth,,'Ground truth not found'
000702.pth,,'Ground truth not found'
000703.pth,,'Ground truth not found'
000704.pth,978804.875,
000705.pth,978735.875,
000706.pth,978690.0,
000707.pth,978663.1875,
000708.pth,978692.3125,
000709.pth,978756.5,
000710.pth,978719.3125,
000711.pth,978720.875,
000712.pth,978731.625,
000713.pth,978751.0,
000714.pth,978787.5,
000715.pth,978868.125,
000716.pth,978827.125,
000717.pth,978812.0,
000718.pth,978795.3125,
000719.pth,978789.6875,
000720.pth,978785.875,
000721.pth,978785.875,
000722.pth,978809.125,
000723.pth,978886.0,
000724.pth,978855.6875,
000725.pth,978840.375,
000726.pth,978838.8125,
000727.pth,978842.8125,
000728.pth,978849.1875,
000729.pth,978859.0,
000730.pth,978861.1875,
000731.pth,978880.125,
000732.pth,978952.125,
000733.pth,978927.375,
000734.pth,978908.6875,
000735.pth,978899.125,
000736.pth,978898.5,
000737.pth,978895.3125,
000738.pth,978890.875,
000739.pth,978894.0,
000740.pth,978908.5,
000741.pth,978930.375,
000742.pth,979014.5,
000743.pth,978987.5,
000744.pth,978963.5,
000745.pth,978948.0,
000746.pth,978941.875,
000747.pth,978938.3125,
000748.pth,978934.375,
000749.pth,978937.5,
000750.pth,978949.3125,
000751.pth,978966.0,
000752.pth,978985.625,
000753.pth,,'Ground truth not found'
000754.pth,,'Ground truth not found'
000755.pth,,'Ground truth not found'
000756.pth,,'Ground truth not found'
000757.pth,,'Ground truth not found'
000758.pth,,'Ground truth not found'
000759.pth,,'Ground truth not found'
000760.pth,,'Ground truth not found'
000761.pth,,'Ground truth not found'
000762.pth,,'Ground truth not found'
000763.pth,,'Ground truth not found'
000764.pth,,'Ground truth not found'
000765.pth,,'Ground truth not found'
000766.pth,,'Ground truth not found'
000767.pth,,'Ground truth not found'
000768.pth,978872.3125,
000769.pth,978802.625,
000770.pth,978725.125,
000771.pth,978707.375,
000772.pth,978747.3125,
000773.pth,978810.6875,
000774.pth,978762.8125,
000775.pth,978741.0,
000776.pth,978758.625,
000777.pth,978808.875,
000778.pth,978873.625,
000779.pth,978948.125,
000780.pth,978918.6875,
000781.pth,978880.125,
000782.pth,978837.875,
000783.pth,978810.1875,
000784.pth,978800.5,
000785.pth,978821.0,
000786.pth,978850.375,
000787.pth,978933.625,
000788.pth,978900.875,
000789.pth,978883.375,
000790.pth,978863.125,
000791.pth,978869.625,
000792.pth,978888.375,
000793.pth,978919.1875,
000794.pth,978951.875,
000795.pth,978973.6875,
000796.pth,979025.6875,
000797.pth,979019.1875,
000798.pth,979009.125,
000799.pth,978982.375,
000800.pth,978954.625,
000801.pth,978936.625,
